region_code,region_name,sido,type,issuer,rank,quadrant,N,R,A,E,resource,NEAR_A,R_KCCI,R3_integratedCare,E3,E3b,IC_total,IC_per10k,IC_special
35530,무주군,전북,군,True,171,IV,47.31736597783406,11.656719899769751,38.28029092256735,56.8602953402089,30.94468506671882,52.55426548001839,19.146773132872838,4.166666666666666,72.78562296997919,60.0,20,8.7,9
32570,화천군,강원,군,True,130,IV,47.534447396924,29.543896171840466,40.06600520828163,39.24241607408258,35.12515885833334,56.60449042017895,28.13541139129997,30.952380952380956,68.09883094800043,55.0,65,28.26,8
21140,수영구,부산,구,False,135,IV,49.023034920512494,25.364802556010396,49.770838917180384,35.65332717896068,35.258744620098966,55.84492366779147,25.134367016782704,25.59523809523809,28.60462125424126,30.0,56,3.33,0
21090,해운대구,부산,구,False,139,I,51.86928932033076,25.216792659012263,53.570088448137234,35.66799149000156,36.33558110349708,55.214007511298625,26.028823413262625,24.404761904761905,27.867591278879708,30.0,54,1.42,0
38540,고성군,경남,군,True,144,IV,46.04009942439543,18.81287955033192,43.6374337797102,42.4943114285793,32.18060378870725,54.556544134069995,22.74480671971146,14.88095238095238,55.2698824313674,25.0,38,8.09,14
21070,남구,부산,구,True,148,IV,49.4009514419597,20.012438733212985,51.9753417314393,37.73231973443445,34.03127988298625,54.39070901781043,24.548686990235492,15.476190476190476,28.88185506319123,30.0,39,1.52,0
38580,함양군,경남,군,True,151,IV,45.7070709357926,17.63961700682926,43.6374337797102,42.60426063816798,31.680122946528222,54.25588038505266,22.18399591842042,13.095238095238097,55.92957768889949,25.0,35,9.72,12
38550,남해군,경남,군,True,146,IV,46.64748817044828,19.834804171983752,43.6374337797102,41.836784950684645,32.47608824897691,54.48759534670794,23.59817977253893,16.071428571428573,51.32472356399948,25.0,40,10.0,5
36650,장성군,전남,군,True,147,I,52.876483408640624,26.500320295254987,39.17314806542449,49.971774983435104,36.17003229835087,54.4441422531665,24.429212019081408,28.57142857142857,60.99194536951984,60.0,61,14.88,9
36520,곡성군,전남,군,True,158,IV,52.33207673426656,22.583190452049536,39.17314806542449,52.6416252075335,35.074786424933016,53.67554038437308,22.547333285051455,22.61904761904762,77.01104671411026,60.0,51,19.62,14
36680,신안군,전남,군,True,163,IV,52.73844051181043,21.635165776979917,39.17314806542449,54.38819231587514,35.084817098237096,53.44175279115084,20.65128393491221,22.61904761904762,87.49044936416007,60.0,51,14.17,5
